r,l,t
-6.5,100,24.59135
50.5,100,48.054483
397.955,9,52.648393
391.665,67,71.314932
42.5,100,91.158826
399.925,15,95.707842
399.785,43,105.11712
393.78,44,114.57624
-82.5,100,134.836668
45.5,100,153.993562
-7.5,100,175.291091
43.5,100,194.693823
396.875,25,200.658201
396.835,33,206.916372
398.91,18,210.944541
41.5,100,231.16475
-13.5,100,252.98781
-9.5,100,275.18213
399.955,9,278.056595
399.945,11,280.276951
-18.5,100,301.564698
398.88,24,309.05836
398.9,20,313.750345
397.945,11,315.841092
397.88,24,325.827727
-0.5,100,345.820985
-8.5,100,365.952879
399.95,10,368.271251
37.5,100,388.815933
-6.5,100,407.837036
40.5,100,428.474339
396.82,36,437.371693
388.545,91,456.459428
40.5,100,478.668185
395.905,19,483.291438
397.9,20,488.47387
398.96,8,491.092898
392.825,35,499.384857
-44.5,100,519.784597
394.835,33,527.482847
395.755,49,539.158636
-14.5,100,625.609304
392.83,34,634.015529
397.915,17,637.347635
-16.5,100,657.595432
-13.5,100,677.819721
394.87,26,684.304894
-4.5,100,703.735982
399.87,26,709.264487
394.875,25,714.580566
398.875,25,720.029194
395.885,23,724.852976
-1.5,100,744.851332
399.92,16,748.225847
-7.5,100,768.844406
396.905,19,773.051868
398.955,9,775.470788
-11.49,98,794.601993
-10.5,100,813.792712
378.5,100,837.470042
393.855,29,843.960878
394.845,31,850.840735
397.82,36,857.820223
399.94,12,860.643337
-14.5,100,884.498825
-6.5,100,906.016345
396.875,25,912.004055
397.925,15,915.848662
398.95,10,918.018377
399.95,10,921.024895
395.82,36,930.28946
-15.5,100,950.044743
-15.5,100,970.565335
42.5,100,990.444842
-8.5,100,1011.241443
39.5,100,1031.650215
33.5,100,1058.873513
39.5,100,1080.535475
386.79,42,1088.856593
397.92,16,1092.766122
-8.5,100,1111.802933
382.545,91,1130.436865
-7.5,100,1151.216841
391.7,60,1164.452956
-8.5,100,1183.247313
-3.5,100,1203.239183
399.905,19,1207.340713
398.915,17,1211.2922
398.915,17,1214.673198
51.755,49,1224.954022
399.955,9,1227.476777
398.91,18,1232.014303
44.5,100,1253.543503
392.715,57,1265.464773
396.905,19,1269.674596
43.5,100,1287.123528
42.5,100,1306.002944
30.5,100,1326.859783
-9.5,100,1346.716189
396.945,11,1349.623182
397.905,19,1353.653069
-13.5,100,1373.862602
397.875,25,1378.399549
-10.5,100,1398.951085
-16.5,100,1419.20098
399.955,9,1421.969443
387.615,77,1440.445519
398.96,8,1442.452651
399.95,10,1444.759303
399.95,10,1447.31058
399.95,10,1450.878492
-4.5,100,1470.826571
39.5,100,1493.660765
399.815,37,1501.642971
399.955,9,1504.244385
-14.5,100,1526.156769
395.665,67,1539.640992
399.945,11,1547.96831
396.92,16,1551.524901
399.95,10,1554.337557
399.92,16,1557.931348
-10.5,100,1578.596851
1.81,38,1586.340752
-15.5,100,1608.036741
396.915,17,1612.237411
397.95,10,1614.764883
393.79,42,1624.172011
-6.5,100,1645.729432
-15.5,100,1669.517907
398.91,18,1672.960935
-7.5,100,1693.704981
-14.5,100,1713.440287
394.895,21,1718.336878
-10.5,100,1737.262779
-23.5,100,1759.594902
396.83,34,1768.269166
398.95,10,1771.045279
393.705,59,1782.676724
398.955,9,1784.855401
-16.5,100,1803.971748
396.955,9,1807.24146
397.875,25,1812.14185
398.955,9,1814.963329
398.905,19,1818.604463
35.5,100,1839.70223
398.875,25,1845.369455
397.955,9,1847.493435
398.88,24,1852.444873
384.5,100,1874.710474
36.5,100,1894.354089
-15.5,100,1915.988753
-9.5,100,1938.29503
397.94,12,1943.641545
399.955,9,1947.604882
399.955,9,1949.819861
394.73,54,1969.175811
-13.5,100,1990.228268
399.91,18,1994.390478
394.86,28,2001.080885
390.81,38,2011.092951
384.5,100,2032.248961
391.69,62,2049.054108
399.905,19,2054.249554
-6.5,100,2073.621953
397.915,17,2077.634542
396.91,18,2082.028421
398.915,17,2085.663291
-7.5,100,2105.489564
399.965,7,2107.805107
398.94,12,2110.572953
389.73,54,2124.875931
-13.5,100,2147.535383
399.96,8,2149.905357
-7.5,100,2174.627943
398.94,12,2177.144902
396.875,25,2182.874763
396.78,44,2192.458497
395.91,18,2196.255413
399.955,9,2198.52508
399.95,10,2201.069726
36.5,100,2223.795054
396.785,43,2233.775464
397.925,15,2237.336887
398.92,16,2241.137815
394.77,46,2251.204784
-11.5,100,2271.504763
-13.5,100,2293.194212
-9.5,100,2312.668757
395.87,26,2318.401546
385.55,90,2334.934164
399.915,17,2338.849792
42.5,100,2361.004753
399.96,8,2363.288892
-13.5,100,2384.530938
394.87,26,2390.444958
398.835,33,2398.148842
398.955,9,2400.298817
399.955,9,2402.503294
36.5,100,2424.254887
390.665,67,2438.219159
