r,l,t
-21.5,100,26.239106
-14.5,100,57.542806
386.705,59,71.928493
398.925,15,76.242064
396.905,19,81.739029
-80.5,100,111.598449
393.765,47,121.01609
390.81,38,130.618336
397.91,18,134.96275
393.905,19,140.753828
390.765,47,152.539976
393.905,19,156.979544
-34.5,100,182.698745
383.59,82,202.260258
396.905,19,206.678472
390.785,43,216.160191
-9.5,100,238.216246
395.825,35,245.88334
398.965,7,258.706409
-15.5,100,281.3636
398.945,11,285.099697
398.96,8,288.243332
-22.5,100,313.403515
394.865,27,320.923736
399.93,14,324.797778
396.955,9,326.65605
-21.5,100,348.799703
395.92,16,353.342783
396.875,25,359.314193
397.905,19,362.862299
-6.385,77,378.624583
394.85,30,386.353379
395.875,25,392.792107
-16.5,100,415.954479
-8.5,100,436.229069
398.905,19,440.06248
398.9,20,446.262773
389.785,43,456.143596
397.915,17,460.148183
-7.5,100,482.873276
394.78,44,517.857703
397.965,7,521.533726
396.835,33,528.49665
-10.5,100,549.085068
397.95,10,553.5658
398.96,8,556.297714
-19.5,100,582.972147
-14.5,100,601.999758
395.91,18,606.836142
398.92,16,610.045433
395.92,16,614.326691
33.5,100,636.947531
397.92,16,642.737402
-13.5,100,661.786848
393.875,25,669.090891
398.96,8,671.111063
392.86,28,678.76172
397.915,17,681.881248
396.91,18,686.059662
394.865,27,696.756823
393.66,68,712.160753
387.765,47,722.384332
-10.5,100,743.568004
31.5,100,767.996886
-22.5,100,789.845271
-19.5,100,813.041262
394.795,41,822.54336
396.91,18,828.650335
33.5,100,852.993649
-16.5,100,873.287188
398.965,7,876.176097
392.78,44,888.625807
396.91,18,893.053178
396.95,10,896.111333
39.5,100,917.999555
45.5,100,938.8231
397.95,10,947.836578
396.91,18,951.985525
387.585,83,968.648645
395.9,20,974.18539
397.955,9,977.298176
398.965,7,979.237665
-24.5,100,1001.926335
396.95,10,1004.303819
395.91,18,1008.571087
396.92,16,1013.06163
399.955,9,1016.697587
395.89,22,1022.990967
395.835,33,1033.283101
397.96,8,1034.92215
392.675,65,1048.6516
398.96,8,1050.771605
41.5,100,1072.401271
397.9,20,1076.675105
398.97,6,1078.372419
382.67,66,1092.777176
390.625,75,1108.29602
392.795,41,1117.282286
394.915,17,1121.961541
393.86,28,1128.373109
-18.5,100,1151.073446
397.965,7,1153.553826
397.885,23,1161.709935
394.89,22,1166.606935
392.835,33,1174.462068
396.92,16,1180.148218
392.645,71,1195.019748
398.965,7,1196.679935
-89.5,100,1228.02161
398.955,9,1232.117502
-12.5,100,1250.874767
397.87,26,1256.267972
395.845,31,1263.298904
399.965,7,1267.860804
399.97,6,1270.263652
396.95,10,1272.705714
389.6,80,1289.639132
396.9,20,1293.85592
398.96,8,1295.793421
398.925,15,1299.089233
394.835,33,1307.114694
32.5,100,1334.019552
392.765,47,1344.329398
393.865,27,1349.987676
396.86,28,1361.564299
395.895,21,1366.723222
389.695,61,1380.485408
393.825,35,1390.188128
-23.5,100,1413.439555
396.88,24,1418.04972
395.915,17,1422.335902
397.915,17,1427.292197
397.95,10,1429.982181
396.905,19,1434.585547
-12.5,100,1454.913253
397.945,11,1457.076077
395.88,24,1463.175144
396.955,9,1465.407347
-8.5,100,1485.491153
-14.5,100,1505.35567
389.805,39,1514.060264
395.91,18,1518.609375
396.92,16,1523.407269
396.895,21,1528.021569
396.955,9,1530.897585
390.71,58,1546.005615
378.54,92,1567.541566
394.945,11,1572.702872
396.875,25,1579.602024
383.665,67,1595.201547
-18.5,100,1619.205261
395.87,26,1625.638169
397.96,8,1627.775315
32.5,100,1650.368055
-26.5,100,1672.753116
397.91,18,1677.377946
399.955,9,1680.003862
-14.5,100,1701.98511
30.5,100,1725.038753
397.95,10,1728.012675
391.815,37,1736.133064
398.965,7,1738.001264
396.96,8,1749.128138
32.5,100,1771.265256
33.5,100,1793.431883
399.955,9,1796.065597
393.865,27,1803.116379
395.835,33,1810.40144
398.97,6,1811.829394
396.95,10,1814.251226
398.965,7,1818.053755
383.675,65,1833.097985
399.95,10,1835.783124
-24.5,100,1858.781301
390.8,40,1869.318437
399.95,10,1873.450656
395.825,35,1880.116939
398.955,9,1882.52209
391.8,40,1891.417363
396.865,27,1897.619647
397.96,8,1899.5963
396.945,11,1902.582938
41.5,100,1923.829285
393.905,19,1929.930768
347.655,69,1950.649402
-19.5,100,1973.496251
399.96,8,1975.794965
398.91,18,1980.956056
-28.5,100,2006.869262
399.965,7,2008.773415
394.86,28,2015.997313
399.95,10,2018.241899
395.95,10,2021.450624
393.75,50,2031.750361
21.5,100,2055.501717
33.5,100,2080.016228
396.945,11,2082.471267
25.5,100,2106.429173
-7.5,100,2128.267923
391.76,48,2138.514135
