r,l,t
4.5,100,51.012462
398.875,25,77.351989
-16.5,100,119.671393
27.5,100,142.341659
30.5,100,163.540718
372.565,87,184.393574
-16.5,100,208.526749
394.765,47,220.829285
13.5,100,246.831211
50.5,100,271.137287
395.905,19,277.708468
394.835,33,286.356943
398.93,14,291.704113
-7.5,100,310.846704
-7.5,100,332.3453
393.875,25,338.022938
40.76,48,351.032354
391.76,48,363.129599
-21.31,62,379.758326
-47.5,100,406.074901
399.895,21,410.843805
11.5,100,442.966614
19.5,100,467.831543
378.755,49,481.276796
389.845,31,490.429157
394.885,23,496.278874
398.93,14,500.165959
5.5,100,524.388516
380.595,81,545.938696
10.5,100,571.666719
391.56,88,591.97005
398.895,21,601.906964
397.795,41,612.171476
0.5,100,639.678676
398.965,7,641.933137
30.5,100,672.002211
3.5,100,692.396617
-22.5,100,716.491626
393.82,36,726.470513
6.5,100,756.126646
392.895,21,763.215351
-27.5,100,788.845528
397.89,22,794.532393
389.855,29,802.385949
388.84,32,811.461846
-63.5,100,841.039439
399.97,6,843.450408
389.9,20,850.592619
-71.5,100,881.790168
397.835,33,889.691004
386.77,46,900.82701
396.945,11,903.606862
396.825,35,911.858833
399.95,10,914.54485
56.945,11,919.608643
399.95,10,922.506314
395.81,38,931.319072
384.6,80,949.817215
398.85,30,956.446841
386.865,27,964.092311
398.915,17,968.939279
398.94,12,974.807025
-56.5,100,1003.301051
21.5,100,1025.807016
387.565,87,1045.125153
376.8,40,1057.300262
-35.5,100,1081.832778
398.83,34,1092.157797
-35.5,100,1119.103426
399.94,12,1123.399516
-18.5,100,1147.127515
-48.5,100,1172.034936
-9.5,100,1194.100219
384.765,47,1205.616801
399.97,6,1207.330505
399.965,7,1209.087014
-52.5,100,1251.023999
389.575,85,1268.067438
399.95,10,1270.921536
16.5,100,1300.198841
393.805,39,1312.491858
-16.5,100,1339.710567
398.84,32,1347.007397
-8.5,100,1372.494861
399.81,38,1384.695234
394.91,18,1389.158816
395.885,23,1396.511784
399.97,6,1398.119874
-32.5,100,1422.859403
398.89,22,1428.48283
-8.5,100,1460.412033
398.93,14,1464.734954
2.5,100,1489.99654
386.84,32,1498.708482
397.885,23,1503.903223
397.92,16,1509.966925
398.955,9,1512.652632
397.945,11,1515.950816
15.5,100,1545.23756
-26.5,100,1568.483805
377.72,56,1582.230744
-46.5,100,1627.947101
399.905,19,1632.786839
399.86,28,1639.433384
394.715,57,1663.284941
398.875,25,1670.705106
-50.5,100,1702.576777
-18.5,100,1729.488452
398.965,7,1731.310847
395.82,36,1740.99788
390.91,18,1745.667793
385.665,67,1761.7366
393.87,26,1767.364691
396.87,26,1774.247757
395.9,20,1780.335323
-58.5,100,1806.402546
388.78,44,1816.467108
391.875,25,1822.470797
3.5,100,1846.930503
399.95,10,1849.939341
-47.5,100,1877.222317
386.77,46,1889.668498
394.91,18,1894.26748
-26.5,100,1917.824994
398.875,25,1923.670442
399.895,21,1929.58839
398.835,33,1937.429836
-36.5,100,1961.330838
7.5,100,1987.894823
-55.5,100,2017.653051
397.935,13,2021.335078
49.5,100,2049.290834
-13.5,100,2078.195609
399.745,51,2091.566793
370.525,95,2115.349942
399.865,27,2121.599081
397.845,31,2129.379693
373.795,41,2154.161495
393.945,11,2157.06148
399.885,23,2163.845894
398.945,11,2166.709112
378.67,66,2190.544866
399.96,8,2192.52158
396.915,17,2196.870488
-51.5,100,2227.739923
-40.5,100,2256.811176
7.5,100,2290.564658
399.965,7,2292.342859
399.935,13,2295.796368
394.87,26,2302.546948
-27.5,100,2327.541805
-13.5,100,2357.743691
2.5,100,2384.141716
399.97,6,2391.610665
35.55,90,2410.586682
399.88,24,2416.988556
-30.5,100,2441.068585
399.92,16,2445.469673
399.95,10,2447.749356
399.785,43,2459.950453
397.885,23,2474.699927
-40.5,100,2502.078067
2.5,100,2527.258964
397.8,40,2537.851924
398.94,12,2540.347355
399.96,8,2542.800527
399.96,8,2544.541999
-3.5,100,2565.605704
399.96,8,2568.52773
398.965,7,2574.472518
-30.5,100,2603.39081
396.91,18,2608.106907
397.84,32,2614.73064
399.935,13,2618.62863
397.89,22,2624.350824
-61.5,100,2657.36895
398.935,13,2661.398321
395.86,28,2668.423138
373.575,85,2690.914936
398.93,14,2693.870584
-5.5,100,2715.868188
375.765,47,2729.435758
398.82,36,2742.227566
396.925,15,2745.802424
394.825,35,2753.868764
10.5,100,2778.533251
398.925,15,2782.873814
387.515,97,2808.170059
-20.5,100,2831.305754
387.755,49,2842.22026
34.5,100,2863.457845
40.5,100,2886.533493
399.855,29,2894.962344
399.755,49,2906.703625
388.675,65,2922.535326
398.83,34,2931.358207
389.895,21,2937.007614
43.5,100,2960.74448
399.835,33,2977.408726
399.945,11,2980.422174
