r,l,t
-0.5,100,30.570799
-0.5,100,66.781327
-1.5,100,89.806416
-0.5,100,115.372862
-1.5,100,141.772341
-4.5,100,169.268652
-2.5,100,190.313846
-2.5,100,216.060215
-0.5,100,240.365177
-0.5,100,267.810465
6.5,100,293.893805
-3.5,100,315.515455
-3.5,100,338.365376
-2.5,100,366.954805
-3.5,100,390.265235
7.5,100,415.354883
-0.5,100,442.668463
-1.5,100,468.84059
5.5,100,505.225269
6.5,100,530.208887
-1.5,100,560.13968
-1.5,100,593.051846
-3.5,100,617.946878
-3.5,100,640.353605
-0.5,100,666.346458
-0.5,100,690.589985
-12.5,100,717.779639
-0.5,100,742.314735
-0.5,100,766.486657
-0.5,100,788.714953
7.5,100,810.903064
0.5,100,834.161991
-17.5,100,869.752894
-1.5,100,897.041967
-2.5,100,925.777498
-0.5,100,949.036331
-26.5,100,976.574986
-1.5,100,1002.827245
-1.5,100,1032.757089
-2.5,100,1060.119889
-1.5,100,1090.3453
-2.5,100,1118.646812
-1.5,100,1153.347949
-45.5,100,1180.670854
-0.5,100,1207.714176
-0.5,100,1236.904331
-1.5,100,1263.503087
-0.5,100,1290.738065
-0.5,100,1315.079376
0.5,100,1342.706432
-0.5,100,1371.166519
6.5,100,1403.731635
-37.5,100,1429.710838
-0.5,100,1455.773594
-3.5,100,1485.655033
-0.5,100,1507.37446
6.5,100,1531.853765
-0.5,100,1559.045276
-1.5,100,1589.826648
2.5,100,1620.390872
-0.5,100,1643.874858
-0.5,100,1666.954972
-0.5,100,1694.978972
-1.5,100,1718.242831
-1.5,100,1742.254802
-0.5,100,1765.33483
-0.5,100,1791.376019
-0.5,100,1814.178864
-0.5,100,1839.842043
-2.5,100,1864.45983
-0.5,100,1889.35001
7.5,100,1914.762774
-18.5,100,1943.080496
-0.5,100,1967.48707
0.5,100,1992.891014
6.5,100,2024.599041
-0.5,100,2050.230929
-0.5,100,2076.996573
4.5,100,2101.854286
-1.5,100,2124.522478
-0.5,100,2148.720408
5.5,100,2176.890316
-0.5,100,2205.633858
-2.5,100,2229.834622
-0.5,100,2257.090877
-0.5,100,2282.751755
-3.5,100,2313.484996
-1.5,100,2338.960123
0.5,100,2362.548743
-0.5,100,2387.826842
-0.5,100,2417.28712
-0.5,100,2441.531978
6.5,100,2466.904781
0.5,100,2491.554836
-0.5,100,2515.241132
-0.5,100,2543.902791
-1.5,100,2571.916871
-0.5,100,2599.100669
-0.5,100,2626.846833
6.5,100,2651.233469
-2.5,100,2675.146396
-0.5,100,2702.023098
4.5,100,2732.166842
-1.5,100,2758.020364
-0.5,100,2783.067165
6.5,100,2818.306887
-1.5,100,2846.132024
0.5,100,2874.186848
-0.5,100,2902.24036
-4.5,100,2926.262979
-2.5,100,2952.623328
-2.5,100,2977.782874
0.5,100,3000.424484
-1.5,100,3033.098936
-1.5,100,3061.932743
-0.5,100,3095.206185
-1.5,100,3126.523718
7.5,100,3159.527227
-0.5,100,3198.254949
-1.5,100,3228.513852
-0.5,100,3260.21447
-0.5,100,3284.506159
-0.5,100,3310.74137
-0.5,100,3337.84745
-0.5,100,3364.494895
-2.5,100,3392.731116
-0.5,100,3422.407255
-0.5,100,3447.671554
-1.5,100,3471.405602
-5.5,100,3496.430686
-0.5,100,3522.456441
2.5,100,3549.068531
-1.5,100,3576.730826
-0.5,100,3614.402853
-0.5,100,3638.474745
4.5,100,3662.440408
-1.5,100,3690.703598
-16.5,100,3714.502853
-3.5,100,3738.627256
-2.5,100,3763.33194
-0.5,100,3789.146138
-0.5,100,3814.358919
-0.5,100,3840.190996
-0.5,100,3863.977797
-0.5,100,3891.427109
6.5,100,3917.543448
-0.5,100,3951.957142
-3.5,100,3978.555703
-2.5,100,4009.711474
-4.5,100,4035.72549
-1.5,100,4064.750815
-0.5,100,4090.314824
-0.5,100,4112.834926
-0.5,100,4136.561677
-0.5,100,4159.735513
-0.5,100,4184.954799
-0.5,100,4208.012411
-1.5,100,4235.468452
-1.5,100,4261.797799
-0.5,100,4286.378771
-0.5,100,4312.558888
0.5,100,4337.574153
-6.5,100,4358.767988
0.5,100,4379.538776
-0.5,100,4402.675666
-3.5,100,4425.979406
2.5,100,4447.434814
-0.5,100,4473.07524
-2.5,100,4497.182881
-3.5,100,4519.964951
-0.5,100,4542.598646
-0.5,100,4565.462817
-2.5,100,4588.867549
-1.5,100,4613.961952
53.5,100,4635.920831
-0.5,100,4661.501816
-0.5,100,4684.334004
7.5,100,4705.688947
7.5,100,4729.122763
6.5,100,4755.943001
-0.5,100,4782.002836
-1.5,100,4804.030804
-0.5,100,4827.014373
4.5,100,4850.95485
-0.5,100,4872.970193
-0.5,100,4899.10182
-3.5,100,4923.26418
-0.5,100,4947.862865
-0.5,100,4975.807745
-24.5,100,5001.154841
7.5,100,5025.91083
-0.5,100,5049.226094
-8.5,100,5075.826449
6.5,100,5097.338807
-3.5,100,5121.534696
-1.5,100,5144.136221
-2.5,100,5167.978509
-2.5,100,5191.24533
-2.5,100,5212.367852
-1.5,100,5234.84716
