r,l,t
397.965,7,7.147237
398.955,9,18.608788
394.88,24,25.270704
0.5,100,46.008723
396.96,8,49.731649
-5.5,100,72.62703
397.955,9,76.080407
396.91,18,84.873817
51.5,100,119.155453
394.92,16,123.643585
398.95,10,126.146645
398.955,9,128.969079
396.915,17,132.671563
1.5,100,153.0906
399.975,5,183.832193
396.88,24,189.849281
6.5,100,210.711454
390.775,45,220.993046
399.96,8,223.090766
397.915,17,227.25367
399.965,7,229.295751
398.955,9,231.91959
390.85,30,238.547969
396.865,27,244.660751
2.5,100,266.037628
399.97,6,268.832613
6.5,100,289.932601
391.685,63,305.623861
4.5,100,328.051465
49.5,100,351.216865
393.875,25,358.233521
395.775,45,368.069931
397.945,11,379.12592
50.5,100,399.07946
399.94,12,403.086196
391.785,43,413.747992
395.9,20,418.034575
399.97,6,420.287087
397.955,9,422.433394
397.955,9,424.639615
398.965,7,426.98992
-8.5,100,446.977815
397.96,8,449.219999
398.945,11,452.821221
396.925,15,457.207674
398.955,9,459.247479
396.88,24,468.699258
398.965,7,471.369134
396.92,16,474.996905
42.5,100,495.291454
399.965,7,497.033209
397.96,8,499.471611
399.97,6,501.234198
393.91,18,505.040078
397.935,13,509.967613
399.965,7,512.463995
395.905,19,517.159431
396.95,10,519.711091
396.875,25,525.136645
399.97,6,527.134992
397.955,9,529.311499
397.925,15,533.142458
397.96,8,535.559628
-6.5,100,559.167307
396.915,17,563.619686
395.95,10,566.103225
394.875,25,573.192333
398.965,7,574.975685
397.96,8,577.293252
397.965,7,580.107877
396.94,12,583.23278
5.5,100,605.98538
399.96,8,608.124582
398.96,8,609.887459
399.97,6,613.828461
395.92,16,618.383693
398.96,8,620.446825
397.965,7,622.383621
397.965,7,624.762901
399.945,11,627.600866
394.875,25,633.598905
397.885,23,639.119087
399.95,10,641.729834
397.925,15,645.4196
3.5,100,667.138051
398.94,12,669.987623
4.5,100,692.342676
396.815,37,701.515627
397.935,13,706.860018
392.81,38,714.540477
43.5,100,734.490061
392.845,31,742.062495
3.5,100,764.797797
398.96,8,766.723401
-0.5,100,788.069026
399.965,7,790.433041
397.955,9,792.742591
55.5,100,815.255496
398.94,12,818.172881
-4.5,100,839.989131
398.965,7,841.936313
397.955,9,844.993532
397.945,11,848.023571
54.5,100,866.429435
397.96,8,868.471727
398.965,7,871.475249
398.955,9,874.789732
51.5,100,895.641726
391.745,51,906.779324
399.925,15,914.661856
397.96,8,917.210598
399.9,20,922.517251
393.87,26,928.426445
397.96,8,930.662366
-2.5,100,955.416124
399.97,6,958.044883
1.5,100,980.364292
397.96,8,984.825052
1.5,100,1010.366457
399.96,8,1012.726553
398.965,7,1014.549768
399.96,8,1016.529552
397.96,8,1018.773676
5.5,100,1039.328473
396.965,7,1045.778474
397.945,11,1048.78803
399.965,7,1050.551825
397.955,9,1053.321602
399.965,7,1055.207312
396.92,16,1059.637604
396.915,17,1063.164289
399.94,12,1065.913055
52.5,100,1086.102669
395.89,22,1091.19027
396.855,29,1098.313139
399.965,7,1100.314544
3.5,100,1119.007427
398.96,8,1121.922051
399.965,7,1123.49757
394.83,34,1131.44512
391.86,28,1138.065541
389.835,33,1146.515401
6.5,100,1174.234731
398.965,7,1176.218033
396.925,15,1180.830094
4.5,100,1200.153467
398.96,8,1202.489622
397.935,13,1206.976253
4.5,100,1225.745417
397.955,9,1231.217172
2.5,100,1251.195123
395.885,23,1256.429201
396.85,30,1263.373859
399.96,8,1265.259596
52.5,100,1284.381436
397.965,7,1287.172329
397.965,7,1291.909651
397.955,9,1295.997875
398.97,6,1298.117832
398.965,7,1300.561667
398.965,7,1302.493647
397.965,7,1305.513628
2.5,100,1330.795634
5.5,100,1351.205287
399.9,20,1355.283411
399.965,7,1358.169723
55.5,100,1380.194313
397.935,13,1383.837629
50.5,100,1404.6424
395.865,27,1410.510585
2.5,100,1433.806788
398.955,9,1435.833193
7.5,100,1456.124531
394.915,17,1460.617786
397.96,8,1464.232197
55.5,100,1486.39575
397.965,7,1488.997721
52.5,100,1515.644795
398.945,11,1518.208481
397.93,14,1521.854042
396.955,9,1524.701756
395.92,16,1528.458694
397.94,12,1531.633676
399.96,8,1533.7833
399.96,8,1536.765289
399.95,10,1539.975033
399.965,7,1542.023083
399.965,7,1544.024785
398.96,8,1546.070283
2.5,100,1571.169728
7.5,100,1590.305476
4.5,100,1610.122676
399.975,5,1611.559485
396.885,23,1616.412255
7.5,100,1638.525993
398.95,10,1640.964281
394.875,25,1647.124741
397.95,10,1649.417739
397.96,8,1651.77398
394.89,22,1657.841788
