r,l,t
397.965,7,6.60298
397.95,10,11.514571
-8.5,100,33.22044
-1.5,100,56.018447
-31.5,100,80.63038
-5.5,100,102.851486
391.71,58,115.808203
379.59,82,160.834726
399.965,7,163.715326
399.965,7,165.961356
-13.18,36,174.078406
-35.5,100,195.773677
-2.5,100,217.206411
397.935,13,219.756376
392.8,40,230.194372
389.845,31,236.5413
-11.5,100,258.894466
-23.5,100,279.510407
399.975,5,280.714464
392.76,48,291.383476
-11.5,100,311.395916
9.5,100,331.227544
389.815,37,339.358674
1.5,100,360.371697
395.915,17,363.920954
398.955,9,392.33283
-6.5,100,413.165099
-4.445,89,433.721019
391.84,32,440.578662
398.945,11,443.661518
389.76,48,455.924828
399.95,10,459.161225
388.85,30,465.391484
390.89,22,471.324458
397.96,8,474.962573
388.825,35,481.762564
397.95,10,484.203299
9.5,100,504.685198
387.745,51,516.006815
393.875,25,522.455297
399.9,20,526.43854
397.935,13,531.117522
385.835,33,539.782141
-18.5,100,563.72341
-4.5,100,586.338458
-30.5,100,609.902543
390.675,65,624.112245
395.835,33,631.134116
397.94,12,634.350583
399.965,7,652.185098
390.855,29,658.09857
385.76,48,669.20933
-10.5,100,689.689848
395.88,24,694.719062
399.955,9,697.725484
1.5,100,718.45394
-50.5,100,745.353611
397.97,6,746.922048
-25.5,100,771.522428
-6.5,100,795.142419
-6.13,26,801.134372
386.86,28,807.957817
396.78,44,818.338615
387.845,31,825.158547
385.58,84,860.446908
-41.5,100,886.036031
399.975,5,887.501245
392.85,30,894.819794
-9.5,100,917.491096
-28.5,100,940.335711
391.875,25,945.902987
398.845,31,952.287168
15.5,100,972.554363
385.77,46,983.110401
-6.5,100,1003.968362
392.785,43,1015.571908
-4.5,100,1033.792528
-5.5,100,1055.860711
392.8,40,1064.120953
393.885,23,1069.131992
-14.5,100,1089.636238
-2.5,100,1111.542433
394.915,17,1115.813232
399.965,7,1127.46041
-6.5,100,1148.947463
393.915,17,1153.742125
-48.5,100,1178.610774
397.865,27,1186.058816
-17.5,100,1211.19443
396.905,19,1215.069358
391.82,36,1223.158557
396.965,7,1225.128992
397.96,8,1227.662509
398.97,6,1228.963766
396.885,23,1234.574923
396.925,15,1237.917743
399.93,14,1241.937623
-26.5,100,1269.664838
394.845,31,1276.322171
-27.5,100,1295.653936
-43.5,100,1320.806423
-8.5,100,1344.812351
394.93,14,1348.211261
385.785,43,1358.266572
396.94,12,1364.370997
-10.5,100,1382.607105
385.61,78,1400.137954
0.5,100,1419.791945
390.65,70,1434.746517
396.94,12,1437.286672
387.5,100,1455.938582
399.965,7,1457.87948
-41.5,100,1481.286403
396.96,8,1484.878428
396.935,13,1491.255566
393.87,26,1497.306497
384.615,77,1515.206561
-21.5,100,1536.926346
396.95,10,1539.878539
19.5,100,1559.839268
-22.5,100,1581.094311
383.69,62,1596.2194
397.88,24,1601.233147
398.965,7,1603.163182
386.7,60,1616.680272
393.7,60,1628.573787
-20.5,100,1650.672506
396.95,10,1654.350343
-5.5,100,1676.623944
393.835,33,1685.6413
393.885,23,1692.505759
-9.5,100,1714.470313
9.5,100,1734.748636
391.87,26,1741.91389
399.96,8,1744.903619
382.725,55,1759.63905
390.755,49,1772.505129
389.855,29,1780.874564
392.915,17,1784.869242
-9.5,100,1807.472842
389.805,39,1816.652541
397.865,27,1821.903195
399.955,9,1823.938842
-21.5,100,1846.371367
378.6,80,1862.869988
397.96,8,1867.45869
398.93,14,1871.054303
396.935,13,1875.118581
396.885,23,1880.070578
396.865,27,1886.363302
395.815,37,1894.661031
392.895,21,1901.340495
-26.5,100,1922.963045
394.88,24,1928.573608
394.85,30,1935.227374
-6.5,100,1957.920969
366.51,98,1980.407596
7.5,100,2005.252517
399.89,22,2013.811074
384.8,40,2028.183326
-22.5,100,2049.760837
398.88,24,2055.262659
385.78,44,2065.17254
398.96,8,2067.719928
-1.5,100,2087.576287
379.555,89,2106.577232
398.965,7,2142.017332
398.885,23,2148.229747
379.62,76,2164.166577
397.935,13,2167.720338
397.96,8,2170.02406
396.905,19,2174.678123
-19.5,100,2198.854921
-34.5,100,2219.212165
-0.5,100,2240.678431
399.975,5,2242.000564
-76.5,100,2271.241199
392.625,75,2287.241474
381.705,59,2300.994664
395.9,20,2306.957123
394.905,19,2312.943499
394.89,22,2317.693882
394.86,28,2325.924913
398.97,6,2327.562619
397.965,7,2334.472701
-24.5,100,2357.218392
395.865,27,2364.751717
385.825,35,2373.090557
-10.5,100,2394.879904
-26.5,100,2417.830334
398.96,8,2420.118715
396.705,59,2433.062564
378.695,61,2447.282102
-28.5,100,2467.517374
397.95,10,2470.565837
-6.5,100,2492.216212
399.955,9,2494.095877
385.645,71,2509.235212
-28.5,100,2532.262413
389.865,27,2538.301781
