r,l,t
393.845,31,10.725374
399.965,7,13.946267
396.945,11,18.58144
399.89,22,31.429423
399.925,15,37.089049
394.855,29,46.211128
399.97,6,50.659706
399.965,7,53.428157
397.935,13,56.235898
399.93,14,60.242368
0.5,100,81.001458
397.89,22,85.778143
399.945,11,88.99685
397.77,46,101.44242
-3.5,100,121.541286
399.95,10,123.996912
395.735,53,134.362003
397.925,15,138.811121
397.855,29,145.489298
398.96,8,147.585583
396.96,8,149.820265
399.95,10,153.049442
398.925,15,156.501735
392.685,63,169.287932
399.95,10,172.46208
398.775,45,181.273081
399.965,7,183.454736
398.945,11,186.698065
398.975,5,195.125532
399.97,6,197.85604
398.97,6,199.50569
398.925,15,203.548937
399.97,6,205.673509
397.765,47,221.816881
49.5,100,246.861414
395.895,21,254.031263
396.915,17,258.093564
-2.5,100,278.796564
394.9,20,283.446146
395.925,15,292.293398
398.965,7,295.250115
398.955,9,297.527262
398.81,38,306.309873
394.785,43,315.144324
398.91,18,319.341468
397.95,10,322.460342
399.97,6,324.69973
-2.5,100,350.609308
45.5,100,370.409198
397.945,11,373.427412
399.97,6,375.725552
389.57,86,395.568619
399.945,11,398.813507
56.5,100,424.070314
5.5,100,443.495458
394.85,30,450.403943
398.97,6,451.913519
54.5,100,471.869231
-35.5,100,503.978937
399.88,24,510.017591
397.965,7,512.655482
399.965,7,517.42492
397.92,16,521.177396
5.5,100,541.545453
397.925,15,545.664432
397.945,11,548.612846
398.935,13,553.209458
399.965,7,554.88224
397.825,35,561.985204
399.965,7,563.501529
398.925,15,566.639642
399.96,8,568.905454
384.655,69,583.184692
5.5,100,605.779254
399.965,7,607.320779
6.5,100,628.853528
-10.5,100,650.583384
0.5,100,671.784015
399.89,22,676.254246
398.885,23,681.126817
54.5,100,702.365292
394.52,96,720.521569
398.96,8,723.122452
4.5,100,747.405685
-0.5,100,775.638617
4.5,100,807.20743
398.965,7,811.538678
20.5,100,836.77296
396.825,35,844.53679
399.83,34,855.701334
396.915,17,860.077291
398.94,12,863.545205
38.5,100,883.362374
51.5,100,906.466825
398.91,18,910.891464
399.965,7,913.278014
399.975,5,915.017765
-0.5,100,938.076547
398.95,10,940.563576
399.96,8,943.450231
399.96,8,946.191776
398.885,23,952.179679
395.865,27,958.613568
55.5,100,978.249882
398.875,25,983.859349
397.91,18,987.709108
398.935,13,991.937669
397.915,17,995.711658
6.5,100,1024.157301
396.85,30,1031.793437
396.96,8,1034.13751
398.97,6,1035.834077
398.965,7,1037.779005
47.5,100,1057.300173
397.96,8,1059.179388
56.5,100,1080.331923
-18.5,100,1101.221397
54.5,100,1121.35588
398.96,8,1123.697938
398.925,15,1127.711369
399.96,8,1134.277998
394.915,17,1138.126652
395.635,73,1153.172874
396.79,42,1161.845395
398.94,12,1164.419853
6.5,100,1196.345307
398.955,9,1198.701883
6.5,100,1221.785367
398.92,16,1226.2048
6.5,100,1246.693816
-4.5,100,1267.140562
54.5,100,1290.459569
56.5,100,1310.961288
396.955,9,1315.630067
394.6,80,1334.937615
54.5,100,1357.233281
390.76,48,1368.85601
6.5,100,1389.663057
6.5,100,1414.082458
399.965,7,1416.121494
392.865,27,1422.497451
394.885,23,1427.720284
47.5,100,1449.00068
398.91,18,1453.084321
396.94,12,1455.983046
398.96,8,1458.041451
396.865,27,1464.203697
393.77,46,1475.801145
395.87,26,1480.537084
394.61,78,1497.936694
-1.5,100,1517.676093
-36.5,100,1541.832952
2.5,100,1563.201283
45.5,100,1584.035658
396.925,15,1587.910416
4.5,100,1610.890702
398.925,15,1617.545678
4.5,100,1639.690563
399.965,7,1641.809467
-7.5,100,1662.068182
399.98,4,1663.568238
387.66,68,1682.584832
397.965,7,1685.233463
398.965,7,1687.970513
56.5,100,1713.301362
396.925,15,1717.8514
399.965,7,1719.812441
398.895,21,1724.726988
0.5,100,1745.993681
398.895,21,1751.682152
1.5,100,1774.355266
47.5,100,1797.027233
56.5,100,1818.636508
399.94,12,1822.518179
397.945,11,1825.376978
399.96,8,1827.706607
399.89,22,1833.124024
6.5,100,1860.969296
396.94,12,1863.84538
397.925,15,1868.522154
394.85,30,1875.011233
399.945,11,1877.850879
399.96,8,1880.192821
-2.5,100,1901.802628
-5.5,100,1928.478958
-0.5,100,1951.289547
396.895,21,1956.555261
398.975,5,1958.502042
395.92,16,1963.662458
5.5,100,1986.72396
399.885,23,1992.072384
0.5,100,2011.285424
397.93,14,2014.577065
396.935,13,2018.191007
7.5,100,2043.269336
399.895,21,2047.433463
398.935,13,2052.058058
55.5,100,2083.348446
396.79,42,2092.834615
398.92,16,2097.244824
