r,l,t
399.93,14,9.384676
395.89,22,24.173351
396.815,37,33.036817
399.96,8,37.078956
398.9,20,42.977781
397.895,21,48.249364
399.955,9,55.530977
394.78,44,67.01885
393.775,45,78.29429
398.86,28,85.410451
394.9,20,105.757857
396.915,17,110.097778
399.77,46,118.854527
399.925,15,124.605239
399.88,24,130.664963
398.9,20,134.833311
399.94,12,138.160368
-7.5,100,159.571379
397.775,45,169.223958
398.895,21,173.798703
398.745,51,185.485067
0.5,100,208.927499
399.955,9,211.46675
399.91,18,215.765927
399.955,9,218.597462
397.95,10,221.408916
399.965,7,223.336599
398.965,7,225.713267
398.835,33,232.434638
46.5,100,251.928226
399.84,32,260.176905
395.78,44,300.480683
335.515,97,330.237906
2.5,100,357.807844
399.92,16,361.807475
398.81,38,371.225314
399.96,8,373.015818
397.915,17,378.461295
348.665,67,399.453926
397.895,21,403.567778
399.845,31,411.58117
397.86,28,417.245595
396.865,27,423.256338
398.93,14,427.004838
399.955,9,429.164847
398.87,26,435.412608
399.925,15,438.794029
399.795,41,448.065866
388.71,58,461.91502
399.85,30,468.764557
399.52,96,490.406434
397.73,54,501.947983
397.9,20,506.45829
396.93,14,517.889554
399.97,6,520.274881
386.715,57,532.832263
396.945,11,535.79757
399.96,8,538.028927
398.785,43,547.052062
399.96,8,549.485904
399.955,9,554.196909
398.875,25,563.508574
399.96,8,566.800708
7.5,100,589.761507
399.8,40,597.405274
399.93,14,601.27717
398.965,7,604.405587
397.925,15,607.803184
383.58,84,626.735083
3.5,100,648.135413
394.895,21,653.817261
389.745,51,666.392926
395.905,19,671.493153
398.965,7,674.33325
398.945,11,677.317298
56.5,100,699.021155
396.935,13,701.713294
396.94,12,705.34046
391.76,48,716.257808
393.885,23,721.300693
388.635,73,737.57231
398.96,8,740.132275
399.965,7,741.800385
399.895,21,746.13404
398.93,14,750.277152
399.965,7,752.113566
399.975,5,755.198693
395.89,22,760.193974
-0.5,100,779.87037
2.5,100,800.239884
396.9,20,806.029257
398.9,20,809.934008
399.97,6,812.551026
-0.5,100,836.175149
398.97,6,838.156531
393.745,51,848.741251
399.965,7,851.162479
392.73,54,863.312732
399.94,12,867.676117
399.93,14,871.062229
2.5,100,893.942703
399.925,15,897.912175
399.95,10,900.352222
51.5,100,927.633066
393.6,80,942.517883
399.935,13,946.462172
394.795,41,955.96914
395.86,28,962.328391
399.94,12,969.210331
399.93,14,974.466491
398.965,7,976.049828
-10.5,100,997.77467
398.875,25,1003.235626
398.72,56,1016.389705
394.855,29,1022.985276
-3.5,100,1050.335139
399.965,7,1052.958338
4.5,100,1078.535431
397.875,25,1084.261795
47.5,100,1105.276657
396.725,55,1120.48315
398.96,8,1122.799438
399.96,8,1125.570175
396.88,24,1131.832386
399.91,18,1136.408303
395.82,36,1144.802771
397.845,31,1151.667033
0.5,100,1174.313297
399.925,15,1178.049488
0.5,100,1197.970361
399.955,9,1201.013798
391.9,20,1206.570104
-20.5,100,1231.515977
7.5,100,1253.230329
398.95,10,1256.407584
397.955,9,1258.992726
-5.5,100,1281.169683
396.8,40,1289.818022
392.705,59,1302.385467
397.845,31,1320.939192
396.78,44,1330.473177
393.765,47,1340.826865
-12.5,100,1362.824555
396.69,62,1380.65186
399.91,18,1385.245219
394.875,25,1392.107907
394.86,28,1398.435985
378.61,78,1416.73854
399.925,15,1429.120282
399.9,20,1434.115754
387.555,89,1452.498787
399.965,7,1454.390085
397.945,11,1457.096885
399.95,10,1459.616846
396.9,20,1463.958276
0.5,100,1485.059393
397.895,21,1491.930335
396.695,61,1506.117886
-15.5,100,1530.244771
-1.5,100,1550.441207
398.95,10,1553.117465
398.865,27,1559.685393
399.955,9,1562.033338
396.875,25,1567.765934
397.91,18,1575.249091
397.84,32,1583.502137
398.93,14,1586.979051
399.96,8,1589.837349
39.5,100,1610.726243
395.77,46,1621.608252
394.925,15,1625.061715
398.94,12,1630.382694
397.9,20,1635.186452
0.5,100,1657.033871
399.96,8,1659.28198
397.935,13,1662.536901
399.965,7,1664.679979
399.975,5,1666.025943
52.5,100,1689.205133
0.5,100,1713.50138
396.93,14,1718.725681
395.915,17,1724.235252
41.5,100,1748.117284
397.96,8,1750.625345
396.91,18,1756.399089
399.955,9,1758.934122
399.975,5,1760.625357
399.965,7,1762.239367
43.5,100,1781.116533
399.875,25,1786.786966
399.93,14,1789.747758
395.83,34,1797.389342
399.92,16,1801.497473
399.965,7,1806.471845
-0.5,100,1826.816581
399.92,16,1830.557204
399.945,11,1833.097241
399.955,9,1835.444728
393.81,38,1843.907659
397.95,10,1846.733229
