r,l,t
-31.5,100,26.981644
397.67,66,50.972134
399.865,27,57.541794
399.945,11,62.49396
56.5,100,85.262536
0.5,100,108.574048
399.875,25,118.457719
399.97,6,121.353903
399.935,13,125.042573
7.5,100,149.906294
399.945,11,153.173971
399.95,10,156.874042
399.895,21,162.433459
399.945,11,165.313863
398.88,24,171.110565
399.855,29,177.575579
398.66,68,191.350073
399.945,11,194.709701
56.5,100,218.985905
399.97,6,220.990091
5.5,100,243.641768
399.91,18,248.813197
7.5,100,269.829061
399.965,7,272.059428
55.5,100,294.768133
399.865,27,307.11998
399.965,7,308.761907
399.98,4,310.298997
399.915,17,315.874365
399.97,6,317.674182
396.58,84,335.413895
399.745,51,347.0636
399.965,7,381.270059
399.72,56,393.721484
399.975,5,395.751583
399.88,24,401.715865
-54.5,100,432.039608
0.5,100,451.481912
399.955,9,454.502728
398.925,15,458.572687
399.96,8,460.922795
-1.5,100,487.849625
399.8,40,496.898609
399.95,10,499.426075
399.92,16,503.421961
399.97,6,504.801532
399.98,4,506.098354
-0.5,100,529.9369
399.845,31,537.25068
398.81,38,545.466502
399.91,18,549.24434
399.95,10,552.15884
399.97,6,554.757405
7.5,100,576.48982
399.895,21,588.711618
398.61,78,606.089394
398.89,22,612.096799
399.88,24,618.278965
399.62,76,635.876759
399.67,66,649.615669
399.96,8,651.598631
399.945,11,654.646852
399.895,21,659.884709
399.965,7,662.477953
399.875,25,667.507149
398.835,33,676.026035
399.695,61,688.961511
399.955,9,691.651065
55.5,100,709.659141
399.825,35,717.262032
399.795,41,726.382519
399.975,5,728.197867
6.5,100,748.853374
398.72,56,761.465715
399.915,17,765.206586
399.93,14,768.380244
399.92,16,771.70355
56.5,100,792.147719
398.935,13,796.313977
6.5,100,819.341607
399.95,10,822.005408
397.8,40,830.838536
399.97,6,832.72325
399.925,15,836.279494
399.835,33,843.858293
399.935,13,846.799647
399.975,5,848.173078
399.78,44,858.869996
399.945,11,862.15408
398.625,75,879.80994
4.5,100,901.330958
399.95,10,904.530003
398.965,7,906.712452
7.5,100,929.0458
399.95,10,931.216659
399.93,14,935.294113
399.94,12,938.460429
399.845,31,945.479884
54.5,100,966.292835
399.97,6,967.896638
399.945,11,970.586399
399.895,21,975.768896
399.89,22,980.236439
399.82,36,987.765986
399.86,28,993.994254
399.97,6,995.696472
398.82,36,1003.717796
56.5,100,1025.828845
399.955,9,1027.776012
399.945,11,1030.830654
6.5,100,1039.960009
6.5,100,1059.205113
55.5,100,1085.420267
399.89,22,1091.865047
399.59,82,1111.21556
399.87,26,1116.669451
7.5,100,1138.623764
399.93,14,1141.830631
399.91,18,1145.770319
399.785,43,1155.565898
399.695,61,1170.197369
399.905,19,1175.068119
399.88,24,1180.330716
399.985,3,1181.226955
398.895,21,1189.608625
399.905,19,1194.68819
7.5,100,1214.078572
398.725,55,1228.005917
6.5,100,1249.886585
5.5,100,1270.91784
399.9,20,1275.989996
399.85,30,1283.370015
398.72,56,1294.486723
399.93,14,1297.620822
399.79,42,1308.142705
14.5,100,1335.606233
7.5,100,1357.375826
7.5,100,1378.545787
51.5,100,1400.84803
399.92,16,1404.68992
-0.5,100,1425.847265
399.965,7,1428.110664
-1.5,100,1450.341754
7.5,100,1462.344923
398.79,42,1472.008331
6.5,100,1491.336479
399.945,11,1498.253902
395.5,100,1518.761537
399.97,6,1521.100418
399.95,10,1523.81089
399.94,12,1526.066397
399.845,31,1533.556987
399.94,12,1536.704942
399.945,11,1540.079913
7.5,100,1559.506282
399.955,9,1561.642196
7.5,100,1581.485384
399.95,10,1584.705465
398.9,20,1592.589615
55.5,100,1614.614672
398.955,9,1619.818326
399.835,33,1626.833505
56.5,100,1647.477734
399.96,8,1650.353997
399.97,6,1652.815843
4.5,100,1673.089762
399.975,5,1674.951376
399.975,5,1676.70176
399.97,6,1678.2956
6.5,100,1700.009768
399.91,18,1704.486009
-27.5,100,1728.248673
399.945,11,1731.406952
399.945,11,1733.731122
399.965,7,1735.971759
7.5,100,1756.930481
399.62,76,1774.136693
399.97,6,1777.125306
399.955,9,1779.369321
399.925,15,1782.541481
399.925,15,1786.128077
399.87,26,1792.344823
5.5,100,1816.270267
397.89,22,1820.965458
0.5,100,1845.020794
399.92,16,1849.298039
398.835,33,1857.002419
7.5,100,1876.123323
399.925,15,1880.102174
399.97,6,1881.635931
399.9,20,1885.689296
0.5,100,1896.930381
399.955,9,1898.999076
396.78,44,1908.826917
399.855,29,1914.622365
56.5,100,1935.213767
398.91,18,1939.953451
399.855,29,1945.709351
397.835,33,1955.650089
0.5,100,1977.552672
