r,l,t
393.895,21,10.357834
399.955,9,15.139553
39.5,100,41.19175
396.87,26,49.977271
398.865,27,59.728758
399.95,10,63.452796
399.94,12,66.346727
396.88,24,75.319666
399.97,6,77.559848
399.96,8,79.572076
3.5,100,102.223491
399.965,7,104.335423
394.855,29,112.168865
398.96,8,114.381839
399.965,7,116.439426
399.94,12,120.358573
-3.5,100,145.647171
397.905,19,150.223401
397.86,28,156.659629
398.875,25,164.214779
0.5,100,187.037303
399.895,21,193.735634
397.865,27,201.107616
398.93,14,204.22964
391.63,74,220.318985
9.5,100,248.599149
398.97,6,250.703568
3.5,100,270.755322
398.925,15,275.152808
44.5,100,298.939747
397.965,7,301.262632
53.5,100,323.982412
399.94,12,327.045998
396.755,49,336.698743
399.85,30,344.781585
399.945,11,347.675569
399.955,9,350.02046
387.75,50,364.951245
399.965,7,367.384944
398.87,26,373.497718
394.925,15,377.054885
397.735,53,388.662231
393.65,70,407.799486
6.5,100,445.427356
399.94,12,450.242668
45.5,100,471.571111
399.915,17,477.154832
6.5,100,498.80507
393.805,39,514.295392
399.96,8,516.431769
394.67,66,533.267961
399.915,17,537.097695
395.93,14,540.842952
386.88,24,547.191755
393.805,39,558.718533
399.96,8,562.314539
391.64,72,578.32777
398.95,10,582.53548
399.945,11,585.647425
398.825,35,593.215076
397.63,74,619.339419
398.905,19,623.427683
398.93,14,627.079534
398.925,15,630.49735
399.965,7,632.303133
398.925,15,635.824261
399.91,18,640.399601
398.885,23,646.542688
-27.5,100,673.823324
399.965,7,676.607643
394.7,60,689.315561
398.875,25,695.143545
398.84,32,704.699803
398.955,9,707.019656
388.795,41,716.774337
398.82,36,724.852341
399.955,9,727.457166
398.9,20,732.974018
394.745,51,749.227794
392.735,53,761.029626
398.685,63,775.606921
399.795,41,784.965069
399.965,7,786.633086
398.93,14,790.349612
399.96,8,792.221827
397.965,7,794.221819
399.57,86,812.083339
396.925,15,815.567482
-5.5,100,844.791308
54.5,100,871.067916
399.955,9,873.152671
398.96,8,875.589751
392.81,38,885.05892
395.68,64,901.91071
397.88,24,908.359593
396.85,30,915.306594
398.705,59,926.498423
398.825,35,938.207671
393.92,16,942.799623
399.925,15,948.88882
397.885,23,953.715238
395.82,36,963.328052
398.935,13,966.495995
-26.5,100,988.75556
48.5,100,1008.85469
399.915,17,1012.914005
398.9,20,1018.031381
379.56,88,1039.27565
397.835,33,1047.304005
399.96,8,1050.192589
399.94,12,1053.603055
398.95,10,1057.208553
399.925,15,1060.584316
397.96,8,1063.536006
396.87,26,1069.951342
397.895,21,1075.406101
397.95,10,1078.565798
6.5,100,1101.843389
384.525,95,1126.0389
399.965,7,1128.896513
-0.5,100,1160.662553
399.965,7,1162.588048
398.955,9,1165.679616
5.5,100,1189.871019
2.5,100,1215.395446
36.5,100,1239.483126
397.71,58,1251.847296
397.92,16,1256.082917
399.925,15,1259.587635
399.965,7,1261.484107
399.965,7,1276.699445
394.825,35,1284.950997
399.955,9,1290.123438
399.95,10,1292.557539
396.87,26,1298.585599
399.94,12,1301.417598
399.975,5,1302.805631
-3.5,100,1325.235389
54.5,100,1345.973747
397.855,29,1352.75351
2.5,100,1374.461839
399.935,13,1382.995644
51.5,100,1405.276512
399.97,6,1406.741396
398.935,13,1409.54387
-9.5,100,1433.832504
398.93,14,1437.415652
399.905,19,1441.219582
399.95,10,1448.041984
399.975,5,1450.420752
399.96,8,1452.940568
398.84,32,1460.378917
395.7,60,1473.896771
398.92,16,1482.286281
399.89,22,1487.855768
399.88,24,1493.518877
399.93,14,1496.63164
398.93,14,1499.92602
394.765,47,1513.924084
399.92,16,1517.990578
395.63,74,1533.53137
4.5,100,1555.287417
397.86,28,1561.431576
-6.5,100,1584.273702
398.92,16,1588.032012
397.95,10,1591.239466
399.975,5,1592.9064
399.955,9,1595.397839
-9.5,100,1628.793768
6.5,100,1651.011359
398.785,43,1660.566866
397.78,44,1670.730902
1.5,100,1695.631433
396.755,49,1706.184538
48.5,100,1726.675097
394.77,46,1737.388978
399.955,9,1739.826467
399.945,11,1743.475729
398.95,10,1746.092949
49.5,100,1771.289868
40.5,100,1794.083856
398.785,43,1804.225394
399.96,8,1806.409737
397.845,31,1823.38949
396.85,30,1830.941037
6.5,100,1850.813832
-7.5,100,1874.695312
396.815,37,1884.735615
399.955,9,1889.343753
397.935,13,1893.60888
398.955,9,1897.608121
399.96,8,1900.69008
392.79,42,1912.167696
397.955,9,1914.631472
398.71,58,1927.044468
399.965,7,1932.202592
380.545,91,1952.067182
399.965,7,1957.335135
-12.5,100,1991.447039
399.915,17,1997.883638
