r,l,t
54.5,100,28.250013
-84.5,100,52.457629
399.905,19,58.384237
7.5,100,79.586427
-60.5,100,101.140616
-63.5,100,122.755332
54.5,100,145.635658
-1.5,100,165.932893
390.845,31,172.734639
399.94,12,174.987152
-40.5,100,198.296502
6.5,100,218.448853
27.5,100,241.947721
-15.5,100,261.504418
1.5,100,282.556243
42.5,100,302.311577
51.5,100,322.491715
-6.5,100,343.411712
-37.5,100,364.415711
399.945,11,367.256136
2.5,100,387.22772
397.69,62,400.495846
-14.5,100,420.60537
-16.5,100,444.571687
2.5,100,477.435823
393.705,59,490.032663
399.945,11,492.695849
-85.5,100,514.551251
-30.5,100,535.628579
4.5,100,556.238506
399.915,17,559.500006
1.5,100,578.735078
398.915,17,582.358172
-79.5,100,605.644279
396.79,42,613.767217
3.5,100,632.578764
50.5,100,654.039716
390.68,64,668.451576
56.5,100,688.103748
-19.5,100,709.919708
51.5,100,729.83124
-44.5,100,750.435889
354.62,76,766.619363
399.94,12,769.556735
389.815,37,780.059367
-10.5,100,800.310884
4.5,100,823.651737
-35.5,100,844.774175
393.625,75,861.923827
396.54,92,880.393204
-49.5,100,902.844356
-2.5,100,923.242707
-19.5,100,943.406723
-0.5,100,963.118548
53.72,56,983.432034
7.5,100,1004.28319
399.945,11,1006.773943
394.68,64,1020.296823
-34.5,100,1044.087788
2.5,100,1066.128639
392.735,53,1077.657382
392.63,74,1092.93994
-13.5,100,1114.011284
39.5,100,1132.435148
-4.5,100,1153.235677
-1.5,100,1174.900027
393.78,44,1183.791938
51.5,100,1205.223656
-31.5,100,1230.012127
399.905,19,1234.129859
-72.5,100,1257.823327
-39.5,100,1277.67086
399.905,19,1282.130952
393.83,34,1289.216614
55.5,100,1308.450345
-2.5,100,1327.475715
-2.5,100,1348.213246
-15.5,100,1371.316892
397.79,42,1379.476265
6.5,100,1403.891692
399.95,10,1406.15187
366.58,84,1427.135008
-8.5,100,1447.83717
2.5,100,1504.125381
6.5,100,1531.68071
3.5,100,1561.492905
55.5,100,1586.587717
-5.5,100,1611.988125
399.76,48,1624.714626
-67.5,100,1650.642375
45.5,100,1670.981191
38.5,100,1694.677302
4.5,100,1718.155741
398.935,13,1721.055947
53.5,100,1743.235413
6.5,100,1768.338955
-70.5,100,1793.951277
-68.5,100,1819.5358
2.5,100,1843.538175
-5.5,100,1863.936633
-8.5,100,1885.189027
387.53,94,1905.361166
56.5,100,1927.989356
3.5,100,1949.410367
3.5,100,1971.824055
-5.5,100,1993.430656
397.91,18,1998.207876
30.5,100,2024.331945
-41.5,100,2045.107462
393.825,35,2053.197606
7.5,100,2085.006181
-52.5,100,2107.101652
56.5,100,2128.85565
-10.5,100,2153.258579
396.92,16,2158.532982
47.5,100,2181.931726
-24.5,100,2207.659734
394.84,32,2215.632475
48.5,100,2238.607709
4.5,100,2260.999217
374.715,57,2274.292261
46.5,100,2296.560146
6.5,100,2317.92772
6.5,100,2338.095758
48.5,100,2369.257174
-0.5,100,2395.898382
-24.5,100,2420.786893
398.895,21,2425.518594
392.84,32,2432.155948
399.605,79,2451.128367
1.5,100,2471.991539
23.5,100,2494.584283
-7.5,100,2517.703796
-26.5,100,2543.899323
-2.5,100,2568.987157
-5.5,100,2594.383551
-29.5,100,2617.711267
-54.5,100,2640.614594
5.5,100,2659.899724
52.5,100,2682.047144
0.5,100,2702.839679
44.5,100,2722.896312
-0.5,100,2749.542304
-85.5,100,2774.240688
5.5,100,2799.525245
46.5,100,2820.993949
368.74,52,2834.888033
394.79,42,2844.34735
2.5,100,2863.043848
-4.5,100,2885.823971
-4.5,100,2907.167379
49.5,100,2926.582515
395.63,74,2979.073038
2.5,100,2998.234011
40.5,100,3020.94218
6.5,100,3040.086248
399.9,20,3044.700179
-26.5,100,3066.109749
-44.5,100,3097.079121
49.5,100,3115.609383
388.87,26,3122.020462
-21.5,100,3143.54145
-1.5,100,3166.259264
399.955,9,3168.958904
-6.5,100,3190.888812
53.5,100,3211.622207
-21.5,100,3238.718689
-81.5,100,3260.995392
4.5,100,3283.23977
-14.5,100,3304.747741
-84.5,100,3331.087509
2.5,100,3354.035728
-37.5,100,3375.492824
399.91,18,3379.902581
35.5,100,3403.447109
1.5,100,3423.731797
392.84,32,3431.66202
-30.5,100,3452.806242
-26.5,100,3475.0437
-74.5,100,3496.333072
49.5,100,3518.372842
398.885,23,3523.472026
19.5,100,3548.148638
395.86,28,3554.35136
392.68,64,3567.764992
30.5,100,3595.404655
-2.5,100,3619.98262
4.5,100,3643.884907
397.77,46,3654.191037
398.86,28,3660.61075
42.5,100,3688.011849
397.89,22,3693.231279
396.935,13,3696.360241
396.765,47,3708.65196
52.5,100,3731.643728
-75.5,100,3759.187974
-10.5,100,3782.741774
5.5,100,3806.883429
-27.5,100,3829.995343
399.945,11,3833.996033
