r,l,t
7.5,100,31.478544
7.5,100,48.618111
56.5,100,65.839542
0.5,100,83.429971
7.5,100,102.028334
7.83,34,108.452932
0.5,100,127.19646
6.5,100,146.481227
-0.5,100,163.656733
56.5,100,179.620026
7.5,100,199.667557
0.5,100,216.104421
5.5,100,232.197418
7.5,100,249.444934
0.5,100,266.821904
-0.5,100,283.500086
-1.5,100,299.44919
6.5,100,315.233278
56.5,100,331.84173
7.5,100,348.663627
7.5,100,364.385395
7.5,100,380.695452
7.5,100,400.93853
7.5,100,417.145827
6.5,100,435.233694
7.5,100,450.978008
6.5,100,465.852626
6.5,100,482.664754
7.5,100,499.956683
7.5,100,515.99235
7.5,100,532.08563
-0.5,100,548.602785
6.5,100,564.238334
0.5,100,580.953055
0.5,100,598.012897
6.5,100,616.877258
7.5,100,634.089228
56.5,100,650.43702
56.5,100,666.939539
7.5,100,685.025164
56.5,100,701.061012
7.5,100,717.528512
0.5,100,735.127805
5.5,100,755.478221
0.865,27,760.22965
7.5,100,776.886134
7.5,100,794.080474
56.5,100,809.755282
399.745,51,819.227997
7.5,100,834.803298
7.5,100,851.76461
0.5,100,867.733307
7.5,100,885.295295
7.5,100,901.836812
7.5,100,918.541758
7.5,100,934.616643
-0.5,100,951.469142
7.5,100,967.960306
0.5,100,984.060374
6.5,100,1001.51796
5.5,100,1016.946701
6.5,100,1033.222208
6.5,100,1049.691254
-0.5,100,1065.566517
7.5,100,1083.084051
7.5,100,1098.790088
7.57,86,1112.850247
6.5,100,1131.576615
6.5,100,1148.423703
0.5,100,1165.323019
6.5,100,1182.161559
7.5,100,1199.973136
0.5,100,1216.639247
6.5,100,1234.322968
7.5,100,1249.592994
6.5,100,1266.45165
5.5,100,1283.539044
6.5,100,1300.028486
7.5,100,1315.999377
7.5,100,1330.916896
6.5,100,1346.913335
6.5,100,1364.085445
56.5,100,1381.243083
0.5,100,1396.631478
7.5,100,1413.033108
399.705,59,1423.910727
6.5,100,1439.575074
0.5,100,1455.413939
7.5,100,1472.038355
7.5,100,1488.152285
6.5,100,1505.715011
56.5,100,1522.553465
7.5,100,1539.347683
7.5,100,1557.600522
7.5,100,1573.867396
-1.5,100,1589.974397
7.5,100,1605.679435
7.5,100,1622.005122
56.5,100,1638.354289
6.5,100,1656.412398
6.5,100,1673.568407
7.5,100,1689.531249
7.5,100,1705.110392
6.5,100,1720.799841
6.5,100,1736.354778
5.5,100,1752.988697
6.5,100,1769.378328
6.5,100,1786.070191
5.5,100,1802.299208
7.5,100,1818.958337
7.5,100,1834.966442
56.5,100,1862.511016
0.5,100,1877.78647
5.5,100,1894.723791
7.5,100,1912.291476
0.5,100,1930.523583
7.5,100,1947.258912
0.92,16,1950.273809
5.5,100,1965.074665
-0.5,100,1982.824096
399.69,62,1994.60196
7.5,100,2010.472967
7.5,100,2029.267069
7.5,100,2046.524398
399.93,14,2055.35972
7.5,100,2074.984517
6.5,100,2093.698663
7.5,100,2109.894435
7.5,100,2125.810835
4.5,100,2141.603084
0.5,100,2157.802599
0.5,100,2174.344382
6.5,100,2191.433769
7.5,100,2207.465779
0.5,100,2223.049469
7.5,100,2238.566702
6.5,100,2254.932051
-1.5,100,2272.39691
7.5,100,2288.975976
0.5,100,2305.716442
6.5,100,2321.202927
7.5,100,2340.006108
0.5,100,2356.598858
-0.5,100,2371.998345
7.705,59,2384.793188
5.5,100,2401.914462
7.5,100,2417.281144
7.5,100,2435.06276
7.5,100,2451.549444
6.5,100,2469.099597
399.635,73,2481.218109
0.5,100,2498.583813
-0.5,100,2516.605867
7.5,100,2534.087948
6.5,100,2551.383675
7.5,100,2567.59482
7.5,100,2583.243485
-0.5,100,2599.375217
6.5,100,2615.672682
7.5,100,2631.20365
7.5,100,2647.682092
7.5,100,2663.73042
7.5,100,2679.721773
7.5,100,2696.354973
6.5,100,2712.31843
0.5,100,2728.615892
7.5,100,2744.677296
7.5,100,2763.172381
7.5,100,2779.427815
6.5,100,2795.815005
7.5,100,2813.174324
7.5,100,2828.136475
0.5,100,2844.789713
7.5,100,2860.297589
5.5,100,2876.542646
7.5,100,2892.205902
7.5,100,2908.692676
6.5,100,2924.490342
-1.5,100,2939.806784
-0.5,100,2956.130681
399.765,47,2965.111274
4.5,100,2981.28758
4.5,100,2997.81094
7.5,100,3013.472394
7.5,100,3030.355727
5.5,100,3047.730207
-0.5,100,3064.232204
7.5,100,3081.272636
1.5,100,3102.886514
7.5,100,3119.242023
-1.5,100,3135.791337
6.5,100,3152.039936
7.97,6,3153.379456
5.5,100,3172.18739
0.5,100,3190.678329
6.5,100,3206.786851
0.5,100,3222.322559
7.5,100,3237.125826
-0.5,100,3253.389901
54.5,100,3270.587114
