r,l,t
399.885,23,7.746732
399.975,5,9.657584
0.5,100,25.734061
-0.5,100,42.691081
399.915,17,46.831953
399.89,22,51.052747
7.5,100,69.245719
399.97,6,71.166737
-0.5,100,86.985901
6.5,100,105.441382
-1.5,100,120.299356
399.975,5,121.995335
7.5,100,139.606193
-1.5,100,155.280377
0.5,100,172.234893
56.5,100,188.97816
-0.5,100,204.756112
55.5,100,220.410466
399.98,4,221.439562
0.5,100,238.421056
399.965,7,240.08275
7.5,100,258.530164
399.95,10,260.604092
7.5,100,278.519394
-0.5,100,293.975311
-0.5,100,311.829086
0.5,100,328.023793
7.5,100,345.995019
0.5,100,364.052342
6.5,100,380.926067
7.5,100,398.35205
7.5,100,416.512231
0.5,100,432.730659
399.98,4,433.967359
0.5,100,451.246436
399.89,22,455.895367
7.5,100,473.555092
399.945,11,475.746194
-0.5,100,492.165389
0.5,100,508.662747
55.5,100,525.832472
399.945,11,527.940055
399.91,18,531.253458
56.5,100,546.661876
55.5,100,562.77062
399.965,7,564.585754
6.5,100,580.977847
7.765,47,598.642025
7.5,100,616.880984
0.5,100,633.044184
56.5,100,649.24971
-1.5,100,666.307569
7.5,100,683.757311
0.5,100,702.313752
56.5,100,718.848606
6.5,100,737.573785
399.97,6,738.844328
0.5,100,755.371863
399.975,5,756.468749
55.5,100,774.063697
399.975,5,775.478641
399.945,11,777.460674
399.98,4,778.834844
0.5,100,796.802913
399.975,5,798.035111
-1.5,100,813.473507
399.95,10,815.771161
56.5,100,831.23582
399.95,10,833.054904
399.905,19,836.406198
7.5,100,852.955585
399.95,10,854.912027
6.5,100,871.556985
-0.5,100,889.089815
6.5,100,909.55879
0.5,100,928.529817
399.95,10,931.351332
7.5,100,952.830103
399.97,6,955.267461
6.5,100,971.749426
399.915,17,974.92169
7.5,100,991.663692
399.98,4,992.722529
0.5,100,1008.315084
0.5,100,1024.284461
399.91,18,1027.46829
399.97,6,1028.778591
0.5,100,1044.155612
-0.5,100,1060.036373
55.5,100,1077.739854
0.5,100,1094.16215
399.97,6,1095.862714
399.945,11,1098.078594
0.5,100,1115.793733
0.5,100,1131.85282
0.5,100,1148.117068
399.945,11,1150.137303
56.5,100,1166.951586
7.5,100,1185.042964
399.975,5,1186.454857
399.975,5,1188.304893
-0.5,100,1206.91416
56.5,100,1225.043969
6.5,100,1244.607149
399.975,5,1246.488765
399.97,6,1247.866575
55.5,100,1263.922311
399.92,16,1267.477025
-0.5,100,1283.199965
399.975,5,1284.52611
7.5,100,1302.24215
399.95,10,1304.191906
7.5,100,1320.134157
0.5,100,1339.277687
399.98,4,1340.58277
54.5,100,1360.179727
-0.5,100,1378.580105
7.5,100,1393.814834
7.5,100,1411.620791
399.945,11,1413.716713
0.5,100,1431.548769
0.5,100,1449.329009
6.5,100,1468.019463
0.5,100,1485.851423
6.5,100,1502.939703
6.5,100,1519.596328
6.5,100,1536.071083
399.89,22,1540.292113
399.95,10,1542.109863
7.5,100,1558.275269
399.98,4,1559.187533
6.5,100,1576.597097
399.94,12,1579.087635
7.5,100,1594.243805
399.955,9,1596.181307
399.965,7,1598.017406
7.5,100,1616.025617
399.945,11,1618.262562
0.5,100,1637.584632
0.5,100,1655.124133
399.97,6,1657.079771
7.5,100,1673.210525
7.5,100,1689.82864
6.5,100,1708.465244
399.98,4,1710.385925
399.975,5,1711.890622
6.5,100,1727.264824
7.5,100,1744.186328
56.5,100,1760.641179
0.5,100,1781.021307
-1.5,100,1801.021695
6.5,100,1815.490961
6.5,100,1830.333313
6.5,100,1847.342162
399.975,5,1848.521767
56.5,100,1870.285637
-0.5,100,1893.875269
399.97,6,1895.234153
399.975,5,1896.949023
399.945,11,1899.774628
0.5,100,1917.249057
399.98,4,1918.477647
7.5,100,1935.293536
6.5,100,1951.16626
0.5,100,1967.228934
399.85,30,1972.72511
6.5,100,1989.867213
-0.5,100,2005.874019
399.94,12,2008.120415
-0.5,100,2023.673003
6.5,100,2042.934874
7.5,100,2061.812825
6.5,100,2079.575454
-0.5,100,2098.126442
0.5,100,2119.135996
399.97,6,2120.454261
399.975,5,2122.276123
399.98,4,2123.205518
6.5,100,2141.093735
5.5,100,2160.28642
0.5,100,2180.826235
399.91,18,2184.806288
7.5,100,2200.94474
399.97,6,2202.411709
7.5,100,2221.508865
0.5,100,2238.483729
399.95,10,2240.791775
399.97,6,2245.091185
7.5,100,2265.964479
399.97,6,2267.643265
6.5,100,2283.520458
6.5,100,2302.825561
0.5,100,2318.966767
7.5,100,2338.400822
7.5,100,2355.722544
399.97,6,2357.098057
0.5,100,2377.790928
399.945,11,2380.487869
6.5,100,2396.819676
7.5,100,2416.73642
