r,l,t
7.5,100,44.086555
6.5,100,99.777876
7.5,100,135.792847
6.5,100,171.92549
6.5,100,210.034876
7.5,100,249.093931
7.5,100,285.363931
7.5,100,326.126376
7.5,100,363.069226
7.5,100,399.531562
7.5,100,433.669693
0.5,100,472.738697
7.5,100,511.828935
0.5,100,546.995114
7.5,100,582.540205
7.5,100,622.311148
7.5,100,660.093342
6.5,100,694.421773
6.5,100,731.714392
56.5,100,767.021326
7.5,100,805.836521
6.5,100,842.572707
6.5,100,880.0908
-0.5,100,924.334377
399.61,78,954.818996
399.905,19,962.560549
6.5,100,997.967709
6.5,100,1035.198029
399.89,22,1044.652406
7.5,100,1079.618523
7.5,100,1116.695034
7.5,100,1153.885274
7.5,100,1187.971368
7.5,100,1225.371095
0.5,100,1259.303914
7.935,13,1264.453864
7.5,100,1298.716423
6.5,100,1333.898056
7.5,100,1370.409434
7.5,100,1405.791026
7.5,100,1452.394985
6.5,100,1490.776319
7.5,100,1528.659784
6.5,100,1563.627339
7.5,100,1596.205336
7.5,100,1634.2111
7.5,100,1671.11511
7.5,100,1711.453824
7.5,100,1745.022095
6.5,100,1781.239778
6.5,100,1818.239707
399.95,10,1823.150067
7.5,100,1861.546199
7.5,100,1896.985057
7.5,100,1936.657291
56.5,100,1972.192562
7.5,100,2006.290502
56.5,100,2040.240896
6.5,100,2077.654923
7.5,100,2111.25447
6.5,100,2149.978642
7.5,100,2187.445479
6.5,100,2221.83212
7.5,100,2270.935546
7.5,100,2305.056894
-1.5,100,2338.71902
6.5,100,2374.53362
7.5,100,2411.302877
-8.5,100,2448.703764
7.5,100,2481.464428
6.5,100,2517.463153
399.84,32,2529.724711
7.5,100,2564.370175
7.5,100,2602.777012
6.5,100,2638.419026
56.5,100,2678.730181
6.5,100,2711.753886
6.5,100,2749.191481
7.5,100,2784.980073
7.5,100,2821.091155
7.5,100,2854.75495
7.5,100,2890.013213
5.5,100,2927.979936
6.5,100,2964.952914
399.61,78,2996.381041
7.5,100,3032.095722
7.5,100,3066.934786
7.5,100,3103.804028
7.5,100,3141.405298
6.5,100,3181.3517
7.5,100,3215.797359
56.5,100,3260.872609
7.5,100,3294.618011
7.5,100,3334.838579
7.5,100,3370.607384
7.5,100,3409.772082
7.5,100,3445.704036
7.5,100,3479.449179
7.5,100,3518.098534
6.5,100,3556.794028
7.5,100,3592.445708
5.5,100,3628.076038
-33.5,100,3668.560909
5.5,100,3701.288597
56.5,100,3736.982887
6.5,100,3773.439379
7.5,100,3814.654294
56.5,100,3850.040462
7.5,100,3888.726129
-0.5,100,3926.595194
-0.5,100,3960.909554
6.5,100,4001.443716
6.5,100,4038.150339
6.5,100,4074.465493
-35.5,100,4115.102434
6.5,100,4149.070607
6.5,100,4186.98519
5.5,100,4229.917735
56.5,100,4267.091645
7.5,100,4314.81363
0.5,100,4359.25755
7.5,100,4403.089731
7.5,100,4445.579333
-0.5,100,4483.612231
399.925,15,4490.9828
7.5,100,4528.000556
7.5,100,4561.683646
7.5,100,4599.252105
7.5,100,4636.542274
5.5,100,4675.465486
7.5,100,4718.36789
7.5,100,4754.285314
4.5,100,4792.609852
7.5,100,4831.77018
5.5,100,4871.101132
7.5,100,4909.384156
5.5,100,4965.551956
56.5,100,5000.180592
7.5,100,5035.72771
5.5,100,5072.79331
56.5,100,5110.963763
7.5,100,5146.551083
7.5,100,5182.579059
7.5,100,5217.273102
7.5,100,5254.427996
6.5,100,5289.634032
55.5,100,5325.482293
4.5,100,5362.146149
7.5,100,5400.864066
6.5,100,5435.117856
6.5,100,5476.474431
7.5,100,5516.375914
56.5,100,5554.759839
7.5,100,5590.691346
7.5,100,5625.600998
54.5,100,5661.906377
7.5,100,5700.428908
53.5,100,5740.968334
7.5,100,5781.704926
7.5,100,5816.460848
7.5,100,5855.684527
6.5,100,5890.052267
56.5,100,5928.975732
7.5,100,5965.562665
7.5,100,5999.70948
7.5,100,6036.528802
-0.5,100,6071.855175
6.5,100,6105.922656
-0.5,100,6147.02609
7.5,100,6189.314421
-0.5,100,6227.744174
7.5,100,6265.390208
6.5,100,6302.295177
56.5,100,6341.246723
56.5,100,6381.602115
399.67,66,6407.38254
6.5,100,6445.205803
7.5,100,6483.8404
399.935,13,6489.313566
6.5,100,6528.846134
7.5,100,6564.549851
7.5,100,6601.517142
7.5,100,6639.36511
7.5,100,6679.242618
5.5,100,6716.412386
7.5,100,6752.375828
5.5,100,6790.534391
4.5,100,6830.604859
4.5,100,6867.585215
7.5,100,6902.401018
399.84,32,6929.278358
7.5,100,6969.557889
7.5,100,7008.523756
6.5,100,7043.162077
6.5,100,7079.025648
7.5,100,7117.958896
6.5,100,7152.427876
56.5,100,7187.498458
7.5,100,7222.907573
6.5,100,7259.920692
