r,l,t
399.945,11,7.186169
399.975,5,10.943767
399.95,10,17.04759
-0.5,100,40.073416
7.5,100,67.122754
399.97,6,69.44553
7.5,100,90.705503
7.5,100,116.610875
399.98,4,118.734345
399.975,5,120.325636
7.5,100,142.574215
399.94,12,145.649269
55.5,100,170.838195
55.5,100,192.595347
399.97,6,194.236572
0.5,100,218.598733
7.5,100,242.653077
399.975,5,244.926247
55.5,100,270.103296
399.98,4,272.275857
7.5,100,294.97306
399.94,12,298.400199
7.5,100,322.472616
7.5,100,346.284713
399.95,10,349.572775
399.95,10,353.75576
56.5,100,382.75109
399.94,12,387.02341
399.975,5,388.500206
399.975,5,390.355797
7.5,100,416.337091
399.945,11,419.257584
399.98,4,421.749999
399.94,12,429.951267
7.5,100,452.286057
0.5,100,478.602613
399.975,5,480.536513
7.5,100,504.192455
399.97,6,506.241252
399.975,5,508.392421
7.5,100,536.101823
399.94,12,540.65367
399.94,12,544.250284
399.95,10,547.107454
0.5,100,571.291102
7.5,100,594.733031
399.945,11,598.256536
7.5,100,619.337549
399.945,11,622.075158
399.97,6,624.265182
398.895,21,630.17831
399.945,11,635.231989
398.915,17,640.071001
399.91,18,645.944869
56.5,100,674.463174
399.975,5,676.194288
399.97,6,678.646555
7.5,100,703.002685
399.975,5,704.836883
399.945,11,708.732445
399.88,24,714.785202
399.97,6,716.968657
399.975,5,718.776014
399.975,5,721.845337
399.91,18,727.765684
399.98,4,729.810046
7.5,100,754.601014
399.98,4,756.707974
7.5,100,782.297338
7.5,100,805.229243
399.975,5,806.652864
399.945,11,809.804615
6.5,100,834.459124
399.98,4,838.189716
399.975,5,839.892094
399.97,6,842.547014
6.5,100,866.9434
0.5,100,892.573666
399.94,12,896.458095
399.97,6,898.653378
399.975,5,900.90818
398.935,13,904.605678
399.975,5,906.488384
7.5,100,934.035941
399.975,5,936.525664
7.5,100,959.824848
56.5,100,986.723524
399.98,4,988.816881
399.97,6,991.205371
399.975,5,993.293285
399.67,66,1011.085578
399.91,18,1016.468584
7.5,100,1042.739079
399.95,10,1045.804278
399.94,12,1049.210115
399.98,4,1050.766407
7.5,100,1077.776608
0.5,100,1102.415842
7.5,100,1129.227268
6.5,100,1157.302982
399.88,24,1163.034378
7.5,100,1186.538924
7.5,100,1210.122058
399.95,10,1213.838657
399.945,11,1216.798728
399.94,12,1220.429124
399.945,11,1223.107019
0.5,100,1246.638175
399.945,11,1249.454473
399.94,12,1253.515217
7.5,100,1281.381232
399.98,4,1282.892661
7.5,100,1312.073509
55.5,100,1337.320714
399.88,24,1343.892371
-0.5,100,1369.231976
399.945,11,1371.832354
7.5,100,1405.832755
399.97,6,1409.769172
7.5,100,1434.336849
399.975,5,1435.787548
399.975,5,1437.787119
399.945,11,1440.831975
7.5,100,1465.78874
56.5,100,1491.686809
399.95,10,1499.936527
399.975,5,1502.025827
-0.5,100,1528.565641
399.97,6,1530.525654
7.5,100,1554.300601
399.975,5,1556.25975
399.945,11,1559.511377
399.975,5,1561.82947
56.5,100,1600.324877
399.98,4,1602.691707
7.5,100,1638.92855
399.88,24,1644.732903
399.945,11,1647.904011
6.5,100,1692.640465
398.92,16,1705.236036
399.98,4,1710.034199
399.92,16,1721.670269
7.5,100,1761.626691
55.5,100,1785.641333
55.5,100,1830.278816
399.95,10,1839.536846
7.5,100,1877.612628
399.975,5,1879.260155
399.975,5,1881.454259
399.94,12,1885.231551
-0.5,100,1907.55252
399.915,17,1912.486686
399.955,9,1918.217188
7.5,100,1942.901933
399.95,10,1947.510223
399.965,7,1950.306374
399.975,5,1952.094744
399.915,17,1958.51087
399.94,12,1963.318524
7.5,100,1985.08956
399.98,4,1986.603256
6.5,100,2038.179796
399.945,11,2046.752991
399.95,10,2059.961785
0.5,100,2090.775507
6.5,100,2113.170301
399.98,4,2114.286401
399.95,10,2126.80243
6.5,100,2151.634149
56.5,100,2186.09662
0.5,100,2212.621222
-0.5,100,2236.563794
7.5,100,2257.794272
399.975,5,2259.254431
7.5,100,2282.214082
6.5,100,2306.40198
399.95,10,2309.302199
399.975,5,2311.589336
-0.5,100,2334.519309
399.95,10,2339.669077
56.5,100,2369.722779
55.5,100,2397.175595
7.5,100,2426.272115
7.5,100,2449.042675
399.975,5,2451.11785
399.98,4,2453.287922
399.97,6,2456.022423
399.97,6,2459.688985
6.5,100,2481.215502
399.97,6,2483.001481
6.5,100,2508.176204
398.92,16,2515.406963
399.98,4,2516.789196
399.94,12,2520.471583
399.965,7,2524.77692
6.5,100,2547.483658
56.5,100,2572.6127
399.975,5,2574.934094
7.5,100,2598.886553
55.5,100,2625.165514
