r,l,t
395.955,9,7.135466
48.5,100,38.561692
-7.36,72,56.90007
399.975,5,61.322196
378.595,81,81.025452
399.97,6,83.389638
47.5,100,108.256928
399.955,9,110.537555
0.5,100,133.750144
395.59,82,151.280674
398.94,12,154.425049
394.925,15,158.993542
399.97,6,162.283663
398.965,7,163.87468
398.97,6,165.320912
399.955,9,168.56148
393.775,45,181.002213
392.715,57,204.385912
388.72,56,217.517678
399.94,12,221.270102
396.95,10,224.089795
394.65,70,242.448167
398.65,70,258.356292
396.72,56,270.523674
399.905,19,274.171714
0.5,100,295.404608
395.64,72,314.029917
398.905,19,319.963458
47.5,100,342.491024
397.965,7,345.753814
397.955,9,348.390601
394.745,51,361.336541
399.885,23,367.634253
397.965,7,369.886373
398.89,22,375.337659
50.5,100,397.24953
-1.5,100,417.735407
398.965,7,419.613437
399.96,8,426.305476
46.5,100,448.067803
398.96,8,449.921848
394.9,20,454.085257
399.905,19,458.545037
397.945,11,461.244682
399.94,12,464.871076
399.925,15,470.165551
395.89,22,476.604569
4.5,100,500.248613
398.89,22,505.119295
0.5,100,529.25823
397.87,26,534.624205
397.905,19,538.773072
397.905,19,545.951523
395.835,33,590.897629
398.96,8,593.445989
399.975,5,594.995862
392.775,45,604.543647
388.655,69,619.662292
391.905,19,624.481067
399.945,11,629.69796
397.925,15,634.308501
399.975,5,645.602586
-1.5,100,666.714991
397.96,8,669.06424
-8.5,100,688.702539
0.5,100,719.816682
-0.5,100,739.923651
397.96,8,742.850811
2.5,100,764.508571
393.89,22,769.614915
0.5,100,789.341645
-0.5,100,808.073434
397.705,59,820.545582
397.74,52,832.747529
398.915,17,837.554183
396.935,13,840.920168
394.9,20,845.82322
399.97,6,847.733734
36.5,100,868.441329
397.885,23,874.661527
399.965,7,877.117127
398.965,7,878.661492
398.925,15,882.313092
398.97,6,883.839272
398.9,20,888.151061
399.95,10,891.874898
397.695,61,903.749619
397.85,30,912.309507
392.77,46,922.1953
396.94,12,925.361263
398.935,13,928.437062
-0.5,100,952.538068
-5.5,100,972.959973
399.97,6,974.561607
396.955,9,976.797379
399.95,10,979.136832
397.935,13,982.357638
399.975,5,984.049161
399.975,5,985.320681
398.965,7,987.281408
399.975,5,989.017642
-4.5,100,1009.932685
397.805,39,1019.192267
396.95,10,1022.248553
398.94,12,1033.662726
398.965,7,1035.299729
398.965,7,1037.524608
399.925,15,1040.431377
396.895,21,1045.298412
398.945,11,1047.641385
392.89,22,1053.138893
396.88,24,1059.35082
46.5,100,1081.599501
399.89,22,1086.263924
396.96,8,1088.718341
395.915,17,1093.458048
6.5,100,1113.138276
398.81,38,1121.923734
53.5,100,1141.124782
397.93,14,1144.511746
396.695,61,1156.621255
399.965,7,1165.745831
-0.5,100,1184.367402
399.85,30,1190.94726
396.96,8,1193.037848
399.94,12,1196.792711
399.94,12,1199.733496
398.965,7,1202.902924
-0.5,100,1223.425455
397.86,28,1229.109526
4.5,100,1249.949044
399.945,11,1252.584363
7.5,100,1273.68532
397.905,19,1278.914945
397.945,11,1285.825111
391.745,51,1296.849565
-12.5,100,1318.261423
396.81,38,1326.987849
394.815,37,1334.010061
397.935,13,1337.44198
396.845,31,1345.483069
394.81,38,1352.671555
46.5,100,1378.978529
399.915,17,1382.337666
391.905,19,1387.580618
7.5,100,1408.527775
397.755,49,1418.053478
391.8,40,1427.245557
0.5,100,1446.787422
399.935,13,1451.071986
394.865,27,1456.225583
396.925,15,1460.367326
399.96,8,1462.629578
399.655,69,1478.517416
399.885,23,1485.814982
397.965,7,1488.960868
399.95,10,1491.081594
394.925,15,1494.815675
395.785,43,1503.493555
-0.5,100,1523.852799
398.96,8,1526.24973
398.93,14,1529.638325
397.64,72,1545.614293
397.92,16,1550.185858
396.925,15,1553.854375
0.5,100,1574.16539
48.5,100,1594.415344
398.555,89,1610.518472
395.95,10,1615.886469
399.935,13,1618.856627
-9.5,100,1640.610482
396.96,8,1642.852849
397.965,7,1645.751933
395.805,39,1654.198023
398.97,6,1655.605821
394.85,30,1663.653658
385.62,76,1679.38155
3.5,100,1700.237582
396.965,7,1701.929752
396.84,32,1707.935833
396.875,25,1713.753734
399.965,7,1715.653337
398.925,15,1719.399328
396.94,12,1722.313702
398.97,6,1723.828431
397.955,9,1726.425531
5.5,100,1745.557384
399.925,15,1749.452093
397.94,12,1753.673088
395.9,20,1760.669687
397.95,10,1763.23429
399.97,6,1764.82501
399.975,5,1766.062929
397.95,10,1769.240556
398.62,76,1783.329285
-6.5,100,1809.924706
382.555,89,1830.201212
396.885,23,1836.82157
-8.5,100,1858.440063
-0.5,100,1878.345914
