r,l,t
399.935,13,7.392207
399.81,38,25.450293
-8.5,100,45.773525
398.955,9,50.379102
399.68,64,64.520992
34.5,100,88.015366
399.965,7,95.149868
370.635,73,114.195178
29.5,100,137.912076
398.93,14,142.183179
396.895,21,161.499009
395.705,59,173.259088
399.775,45,182.700197
-0.5,100,203.373648
399.955,9,206.211669
0.5,100,225.699691
-7.5,100,246.403473
-0.5,100,267.287433
399.915,17,271.76844
395.845,31,279.054997
391.525,95,301.646692
391.8,40,310.9002
399.935,13,314.336503
399.93,14,317.8602
0.5,100,341.425666
399.94,12,344.001144
394.68,64,358.06644
399.76,48,368.808378
399.965,7,371.100087
399.92,16,374.243896
399.955,9,376.984177
398.845,31,417.664191
398.91,18,421.792152
399.915,17,426.568907
399.94,12,429.530131
399.92,16,433.332833
392.64,72,447.074571
2.5,100,466.383766
395.73,54,477.506788
399.915,17,482.268252
-1.5,100,503.16804
396.8,40,514.908976
398.71,58,527.395636
7.5,100,548.747369
395.655,69,564.692919
-1.5,100,585.641833
5.5,100,605.410633
399.94,12,608.394955
398.835,33,615.668127
-19.5,100,638.205127
-11.5,100,658.404063
393.81,38,666.736621
41.5,100,688.833428
6.5,100,707.951955
399.965,7,709.652649
52.5,100,728.208038
399.88,24,733.357093
-0.5,100,754.656897
393.7,60,767.283049
2.5,100,787.951596
399.965,7,789.900209
396.565,87,807.968408
399.92,16,812.078236
3.5,100,832.771998
399.88,24,837.744146
-21.5,100,860.479452
398.86,28,869.060463
-0.5,100,888.948287
7.5,100,911.114949
399.93,14,915.104268
6.5,100,942.31771
0.5,100,964.244313
398.965,7,966.396312
399.965,7,968.275419
399.965,7,970.465604
385.59,82,991.870163
4.5,100,1018.074553
397.895,21,1023.420228
397.93,14,1026.895996
398.73,54,1040.599643
3.5,100,1063.664122
397.81,38,1074.736685
-0.5,100,1100.280087
396.78,44,1110.87961
6.5,100,1137.123423
395.59,82,1155.357167
52.5,100,1178.721729
399.935,13,1182.676303
27.5,100,1209.396491
-4.5,100,1232.237452
398.89,22,1237.604182
398.88,24,1243.364685
398.875,25,1250.507325
0.5,100,1274.383999
399.965,7,1277.008347
38.5,100,1302.598039
-14.5,100,1327.400601
-0.5,100,1349.869461
-4.5,100,1368.688008
399.975,5,1370.644197
399.945,11,1373.136556
399.89,22,1377.503694
-3.5,100,1399.101012
399.96,8,1404.69082
399.86,28,1410.548333
399.975,5,1412.731383
399.9,20,1417.395685
396.92,16,1421.088221
0.5,100,1443.887172
399.92,16,1448.491453
389.615,77,1465.700329
-3.255,51,1479.432828
7.5,100,1499.740022
399.855,29,1506.492233
398.91,18,1517.84274
398.865,27,1524.8842
5.5,100,1552.777833
6.5,100,1573.893667
398.88,24,1579.004599
-55.5,100,1607.232486
399.935,13,1610.246475
399.94,12,1613.608697
-0.5,100,1634.52
399.895,21,1639.400253
399.935,13,1644.328171
398.875,25,1650.46064
1.5,100,1670.782008
53.5,100,1695.711247
398.92,16,1700.297778
398.755,49,1712.316121
4.5,100,1737.171743
5.5,100,1760.272517
399.95,10,1762.822652
395.8,40,1772.053393
395.81,38,1781.132745
399.96,8,1783.025266
56.5,100,1805.149773
399.945,11,1809.025287
397.93,14,1812.136372
397.915,17,1821.01262
-15.5,100,1842.139255
389.605,79,1859.361631
399.925,15,1863.148285
-3.5,100,1882.492285
398.88,24,1888.532144
394.855,29,1896.154996
399.93,14,1902.194109
398.945,11,1905.148387
397.635,73,1925.673802
398.905,19,1930.457176
399.92,16,1935.29244
398.92,16,1941.784033
393.87,26,1949.402164
399.935,13,1957.024337
399.925,15,1960.544528
396.89,22,1966.034386
398.765,47,1976.70442
390.5,100,2001.496306
399.965,7,2003.428144
399.965,7,2007.032225
398.96,8,2009.72258
48.5,100,2029.996192
399.86,28,2037.006625
399.955,9,2038.886101
398.93,14,2042.634224
399.925,15,2046.334228
-0.5,100,2068.75113
395.865,27,2075.181931
21.5,100,2101.300066
399.93,14,2104.500642
399.705,59,2121.588207
396.77,46,2131.949605
399.965,7,2133.615827
395.805,39,2142.319434
-23.5,100,2162.93474
399.96,8,2165.011208
43.5,100,2187.821351
399.96,8,2189.65529
399.915,17,2193.463467
399.975,5,2200.876237
397.89,22,2207.19241
399.925,15,2212.252849
399.975,5,2213.858447
395.915,17,2217.716096
399.945,11,2221.556352
-23.5,100,2245.106227
397.855,29,2251.38521
-1.5,100,2273.992139
51.5,100,2296.135548
393.845,31,2303.263725
396.775,45,2312.744249
397.875,25,2318.795043
6.5,100,2342.696585
397.9,20,2347.079619
399.965,7,2349.215481
399.885,23,2356.03174
397.69,62,2370.856546
399.94,12,2374.442104
-30.5,100,2399.900336
399.565,87,2417.848264
